Algorithm,Embedding,Dim,F1-score,Precision,Recall,Accuracy,Detector Count
NSA-GA,bert-base-cased,1D,0.0014939112223851,0.0084100297594513,0.0051325572938517,0.0020143340538336,152
NSA-GA,bert-base-cased,2D,0.003421647316915,0.0049864861285991,0.0105519886829177,0.0022218494928647,229
NSA-GA,bert-base-cased,3D,0.0021670031030284,0.0023823694480866,0.002842315607054,0.0017436834170852,52
NSA-GA,bert-base-cased,4D,0.0106273643732505,0.0034628353015815,0.0125484313958152,0.0064843344693434,N/A
NSA-GA,distilbert-base-cased,1D,0.0018027556825405,0.0099817636080056,0.0056654284865156,0.0023084473044026,103
NSA-GA,distilbert-base-cased,2D,0.0031356557261956,0.0055481479226239,0.0026104857409084,0.0033050012065037,127
NSA-GA,distilbert-base-cased,3D,0.0029824279594485,0.0042754230992809,0.0077596972510413,0.0023280340062198,313
NSA-GA,distilbert-base-cased,4D,0.0103706855195755,0.0040467358408838,0.0223518308932281,0.008835953621364,336
NSA-GA,fasttext,1D,0.0009111550108957,0.0032510973719364,0.001421157803527,0.0010031012990652,47
NSA-GA,fasttext,2D,0.0003167961065315,0.0041478725366748,0.004623184658873,0.0001808115474419,118
NSA-GA,fasttext,3D,0.0054442066811819,0.0052402622365298,0.0142844937017847,0.0040246085407214,588
NSA-GA,fasttext,4D,0.0034777917800691,0.0024618887338915,0.0042378359357274,0.0031439032973544,N/A
NSA-GA,roberta-base,1D,0.0012773306723237,0.002757762402836,0.0002410820632559,0.0012968668938686,26
NSA-GA,roberta-base,2D,0.0049909301601281,0.0023838550675801,0.0079666588264057,0.0049156508550526,39
NSA-GA,roberta-base,3D,0.008180819424362,0.0021899114574283,0.0166935185304847,0.0074582175904312,131
NSA-GA,roberta-base,4D,0.0088698422365298,0.0020926699287846,0.0179030825560501,0.0078981975708689,159
NSA-NSGA-II,bert-base-cased,1D,0.0015333130884787,0.0029741841985607,0.0007332224705502,0.0015946079623341,34
NSA-NSGA-II,bert-base-cased,2D,0.0012823486489697,0.0040649778849288,0.0040752853114463,0.0012699785722442,169
NSA-NSGA-II,bert-base-cased,3D,0.0131696948809913,0.0067591446412937,0.0170781587520771,0.0106695837201818,N/A
NSA-NSGA-II,bert-base-cased,4D,0.0065128144314072,0.0023474659452403,0.0072445059724634,0.0038742270114226,26
NSA-NSGA-II,distilbert-base-cased,1D,0.0011526882542996,0.0056173421012027,0.0038798486255206,0.0013038506109961,47
NSA-NSGA-II,distilbert-base-cased,2D,0.0034332742323243,0.0103087012452449,0.0148456447539509,0.0025620286655712,221
NSA-NSGA-II,distilbert-base-cased,3D,0.0078332911822867,0.0057687221409937,0.0097994743370225,0.0075125692997369,149
NSA-NSGA-II,distilbert-base-cased,4D,0.0010720512053176,0.0017809395708771,0.0037984772374991,0.0008754798119536,297
NSA-NSGA-II,fasttext,1D,0.0020840448230284,0.0055377651676151,0.0025313616641878,0.0021922235073527,68
NSA-NSGA-II,fasttext,2D,0.0013360006368073,0.0051387667784624,0.0075883427724664,0.0008919221836854,127
NSA-NSGA-II,fasttext,3D,0.0064495262977975,0.0058223574734074,0.0073084058292242,0.0060834420650838,381
NSA-NSGA-II,fasttext,4D,0.0085744988641728,0.0025060142708622,0.0158221296711616,0.0076572024048962,175
NSA-NSGA-II,roberta-base,1D,0.0005871580494447,0.0011632627405972,N/A,0.0005935957398929,13
NSA-NSGA-II,roberta-base,2D,0.0031767901734625,0.0034613801771784,0.0070255879909998,0.0031253618703549,59
NSA-NSGA-II,roberta-base,3D,0.005567020726705,0.0041125971916139,0.0100592195070279,0.0053708436062101,85
NSA-NSGA-II,roberta-base,4D,0.0017036709931601,0.0014017042735235,0.0044256783810403,0.0016406427068912,182
