Embedding,Dim,OneClassSVM,NSA-NSGA-II,NSA-GA
RoBERTa,1D,0.999,0.994,0.993
RoBERTa,2D,0.992,0.981,0.977
RoBERTa,3D,0.975,0.964,0.949
RoBERTa,4D,0.977,0.978,0.943
FastText,1D,0.963,0.95,0.95
FastText,2D,0.964,0.932,0.927
FastText,3D,0.969,0.889,0.886
FastText,4D,0.96,0.918,0.891
DistilBERT,1D,0.96,0.931,0.93
DistilBERT,2D,0.964,0.91,0.911
DistilBERT,3D,0.959,0.903,0.884
DistilBERT,4D,0.964,0.937,0.916
BERT,1D,0.934,0.869,0.867
BERT,2D,0.91,0.869,0.861
BERT,3D,0.908,0.814,0.788
BERT,4D,0.887,0.655,0.684
