algorithm,dataset,dimension,precision_avg,precision_stdev,recall_avg,recall_stdev,accuracy_avg,accuracy_stdev,f1_avg,f1_stdev,true_detected_avg,true_detected_stdev,true_total_avg,true_total_stdev,fake_detected_avg,fake_detected_stdev,fake_total_avg,fake_total_stdev,negative_space_coverage_avg,negative_space_coverage_stdev,time_to_build_avg,time_to_build_stdev,detectors_count_avg,detectors_count_stdev,time_to_infer_avg,time_to_infer_stdev,self_region_avg,self_region_stdev,stagnation
ga,bert-base-cased,1D,0.8426757510065036,0.0,0.6351540616246498,0.0,0.7582866479925303,0.0,0.7243444695860509,0.0,508,,4284,,2721,,4284,,16.16293672167376,,1266.8698868999782,0.0,1450,0.0,39.9535902000207,0.0,0.00047587942515155384,0.0,1
ga,bert-base-cased,2D,0.8910860012554928,0.0,0.6626984126984127,0.0,0.7908496732026143,0.0,0.7601070950468541,0.0,347,,4284,,2839,,4284,,270.56578311376575,,1565.372218000004,0.0,1475,0.0,41.928929599991534,0.0,0.019760372698923515,0.0,0
ga,bert-base-cased,3D,0.9266883351390394,0.0,0.5989729225023342,0.0,0.7757936507936508,0.0,0.7276336310789735,0.0,203,,4284,,2566,,4284,,2126.5888117678974,,1859.8369589000067,0.0,1475,0.0,43.6894151000015,0.0,0.060622704597690875,0.0,0
ga,bert-base-cased,4D,0.9628547579298832,0.0,0.538515406162465,0.0,0.7588702147525677,0.0,0.6907185628742514,0.0,89,,4284,,2307,,4284,,26545.264253656947,,2530.1543729999976,0.0,1450,0.0,45.23250710000866,0.0,0.06765323697107839,0.0,1
ga,distilbert-base-cased,1D,0.9451313755795981,0.0,0.8564425770308123,0.0,0.9033613445378151,0.0,0.8986039676708303,0.0,213,,4284,,3669,,4284,,25.280413256696193,,1255.934515800007,0.0,825,0.0,20.64998790001846,0.0,0.0006243904698974975,0.0,5
ga,distilbert-base-cased,2D,0.9310674964097654,0.0,0.9080298786181139,0.0,0.9204014939309056,0.0,0.9194043961238478,0.0,288,,4284,,3890,,4284,,350.4518152328519,,1657.8854955999996,0.0,1200,0.0,27.534864599991124,0.0,0.01710500906637924,0.0,5
ga,distilbert-base-cased,3D,0.9482439926062847,0.0,0.8382352941176471,0.0,0.8962418300653595,0.0,0.8898525585429315,0.0,196,,4284,,3591,,4284,,3772.286462393574,,1914.035726400005,0.0,1475,0.0,36.83958420000272,0.0,0.04291434771411653,0.0,0
ga,distilbert-base-cased,4D,0.9589192169837331,0.0,0.8118580765639589,0.0,0.8885387488328664,0.0,0.8792820123878143,0.0,149,,4284,,3478,,4284,,41458.0743494253,,2462.053681600024,0.0,1475,0.0,39.37237919998006,0.0,0.0587022310258824,0.0,0
ga,fasttext,1D,0.9016958134605193,0.0,0.7943510737628384,0.0,0.853874883286648,0.0,0.8446264581782079,0.0,371,,4284,,3403,,4284,,20.12894878100019,,1165.8088308000006,0.0,1400,0.0,35.522145199996885,0.0,0.0005133940594723874,0.0,3
ga,fasttext,2D,0.9171503957783641,0.0,0.811391223155929,0.0,0.8690476190476191,0.0,0.8610354223433242,0.0,314,,4284,,3476,,4284,,327.31952649593586,,1535.4314412999956,0.0,1450,0.0,36.97110910000629,0.0,0.018330462451780535,0.0,1
